,ﻦﻴﻣﺃ ﺪﻤﺣﺃ,ﺎﺷﺎﺑ ﺭﻮﻤﻴﺗ ﺪﻤﺣﺃ,ﻲﻗﻮﺷ ﺪﻤﺣﺃ,ﻲﻧﺎﺤﻳﺮﻟﺍ ﻦﻴﻣﺃ,ﺔﻇﺎﺑﺃ ﺕﻭﺮﺛ,ﻥﺍﺮﺒﺟ ﻞﻴﻠﺧ ﻥﺍﺮﺒﺟ,ﻥﺍﺪﻳﺯ ﻲﺟﺮﺟ,ﻲﻔﻨﺣ ﻦﺴﺣ,ﺭﺎﺑ ﺕﺮﺑﻭﺭ,ﻰﺳﻮﻣ ﺔﻣﻼﺳ,ﻦﻴﺴﺣ ﻪﻃ,ﺩﺎﻘﻌﻟﺍ ﺩﻮﻤﺤﻣ ﺱﺎﺒﻋ,ﻱﻭﺎﻜﻣ ﺭﺎﻔﻐﻟﺍ ﺪﺒﻋ,ﻥﻮﺑﻮﻟ ﻑﺎﺘﺳﻮﻏ,ﺎﻳﺮﻛﺯ ﺩﺍﺆﻓ,ﻲﻧﻼﻴﻛ ﻞﻣﺎﻛ,ﻞﻜﻴﻫ ﻦﻴﺴﺣ ﺪﻤﺤﻣ,ﻅﻮﻔﺤﻣ ﺐﻴﺠﻧ,ﻱﻭﺍﺪﻌﺴﻟﺍ ﻝﺍﻮﻧ,ﺮﻴﺒﺴﻜﻴﺷ ﻡﺎﻴﻠﻳﻭ,ﺲﻳﺭﺩﺇ ﻒﺳﻮﻳ
ﻦﻴﻣﺃ ﺪﻤﺣﺃ,189,2,0,2,2,0,1,2,0,20,10,12,2,0,0,1,2,0,1,0,0
ﺎﺷﺎﺑ ﺭﻮﻤﻴﺗ ﺪﻤﺣﺃ,0,44,5,0,0,0,0,4,0,1,0,0,3,0,0,0,0,0,0,0,0
ﻲﻗﻮﺷ ﺪﻤﺣﺃ,1,1,10,0,2,0,20,0,0,1,9,11,0,1,0,1,1,0,0,0,0
ﻲﻧﺎﺤﻳﺮﻟﺍ ﻦﻴﻣﺃ,27,1,0,17,4,9,5,2,0,36,0,27,1,2,2,0,3,0,6,0,0
ﺔﻇﺎﺑﺃ ﺕﻭﺮﺛ,2,0,39,0,17,0,0,0,0,0,1,1,2,0,0,0,22,0,0,6,0
ﻥﺍﺮﺒﺟ ﻞﻴﻠﺧ ﻥﺍﺮﺒﺟ,0,0,0,0,0,20,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0
ﻥﺍﺪﻳﺯ ﻲﺟﺮﺟ,30,1,2,0,0,0,242,1,0,27,4,6,0,2,0,0,12,0,0,0,0
ﻲﻔﻨﺣ ﻦﺴﺣ,144,1,0,0,0,0,9,341,0,6,0,37,0,1,1,0,3,0,5,0,0
ﺭﺎﺑ ﺕﺮﺑﻭﺭ,0,0,0,0,0,0,0,0,38,2,0,2,2,0,2,0,0,0,24,0,12
ﻰﺳﻮﻣ ﺔﻣﻼﺳ,11,0,0,0,0,0,0,0,0,105,0,0,0,1,0,0,0,0,2,0,0
ﻦﻴﺴﺣ ﻪﻃ,18,6,1,0,3,0,0,0,0,8,196,9,2,0,1,3,1,0,0,6,1
ﺩﺎﻘﻌﻟﺍ ﺩﻮﻤﺤﻣ ﺱﺎﺒﻋ,47,1,2,1,0,1,2,0,0,11,20,169,1,1,1,3,4,0,3,0,0
ﻱﻭﺎﻜﻣ ﺭﺎﻔﻐﻟﺍ ﺪﺒﻋ,48,0,1,0,0,2,0,10,0,15,1,36,209,0,61,0,9,0,4,0,0
ﻥﻮﺑﻮﻟ ﻑﺎﺘﺳﻮﻏ,15,0,0,0,0,0,3,0,0,26,1,20,0,72,9,1,3,0,0,0,0
ﺎﻳﺮﻛﺯ ﺩﺍﺆﻓ,3,0,0,0,0,0,0,2,0,1,0,1,0,0,113,0,1,0,4,0,0
ﻲﻧﻼﻴﻛ ﻞﻣﺎﻛ,13,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0
ﻞﻜﻴﻫ ﻦﻴﺴﺣ ﺪﻤﺤﻣ,68,1,3,1,6,4,3,0,0,60,19,19,6,5,3,4,48,0,7,1,2
ﻅﻮﻔﺤﻣ ﺐﻴﺠﻧ,7,0,0,2,20,3,0,0,0,0,0,8,12,0,0,0,13,261,1,0,0
ﻱﻭﺍﺪﻌﺴﻟﺍ ﻝﺍﻮﻧ,7,0,0,0,1,0,0,7,0,30,0,0,1,0,2,0,1,0,245,0,1
ﺮﻴﺒﺴﻜﻴﺷ ﻡﺎﻴﻠﻳﻭ,18,0,2,2,0,2,0,0,0,28,8,6,36,0,0,8,6,0,2,120,0
ﺲﻳﺭﺩﺇ ﻒﺳﻮﻳ,15,0,0,0,2,0,0,1,0,36,0,0,8,1,16,0,0,0,15,0,26
