,ﻦﻴﻣﺃ ﺪﻤﺣﺃ,ﺎﺷﺎﺑ ﺭﻮﻤﻴﺗ ﺪﻤﺣﺃ,ﻲﻗﻮﺷ ﺪﻤﺣﺃ,ﻲﻧﺎﺤﻳﺮﻟﺍ ﻦﻴﻣﺃ,ﺔﻇﺎﺑﺃ ﺕﻭﺮﺛ,ﻥﺍﺮﺒﺟ ﻞﻴﻠﺧ ﻥﺍﺮﺒﺟ,ﻥﺍﺪﻳﺯ ﻲﺟﺮﺟ,ﻲﻔﻨﺣ ﻦﺴﺣ,ﺭﺎﺑ ﺕﺮﺑﻭﺭ,ﻰﺳﻮﻣ ﺔﻣﻼﺳ,ﻦﻴﺴﺣ ﻪﻃ,ﺩﺎﻘﻌﻟﺍ ﺩﻮﻤﺤﻣ ﺱﺎﺒﻋ,ﻱﻭﺎﻜﻣ ﺭﺎﻔﻐﻟﺍ ﺪﺒﻋ,ﻥﻮﺑﻮﻟ ﻑﺎﺘﺳﻮﻏ,ﺎﻳﺮﻛﺯ ﺩﺍﺆﻓ,ﻲﻧﻼﻴﻛ ﻞﻣﺎﻛ,ﻞﻜﻴﻫ ﻦﻴﺴﺣ ﺪﻤﺤﻣ,ﻅﻮﻔﺤﻣ ﺐﻴﺠﻧ,ﻱﻭﺍﺪﻌﺴﻟﺍ ﻝﺍﻮﻧ,ﺮﻴﺒﺴﻜﻴﺷ ﻡﺎﻴﻠﻳﻭ,ﺲﻳﺭﺩﺇ ﻒﺳﻮﻳ
ﻦﻴﻣﺃ ﺪﻤﺣﺃ,90,32,15,4,7,5,4,6,0,13,1,2,7,6,2,46,2,0,4,0,0
ﺎﺷﺎﺑ ﺭﻮﻤﻴﺗ ﺪﻤﺣﺃ,0,9,19,0,0,0,0,2,0,0,0,0,0,0,0,27,0,0,0,0,0
ﻲﻗﻮﺷ ﺪﻤﺣﺃ,0,0,13,0,0,2,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0
ﻲﻧﺎﺤﻳﺮﻟﺍ ﻦﻴﻣﺃ,3,3,6,52,6,13,3,2,0,7,0,0,9,5,1,23,0,2,6,0,1
ﺔﻇﺎﺑﺃ ﺕﻭﺮﺛ,0,2,37,0,23,2,0,0,1,0,1,0,1,0,0,7,11,1,1,3,0
ﻥﺍﺮﺒﺟ ﻞﻴﻠﺧ ﻥﺍﺮﺒﺟ,0,0,5,0,3,12,0,0,0,0,0,0,3,0,0,6,0,0,1,0,0
ﻥﺍﺪﻳﺯ ﻲﺟﺮﺟ,10,25,2,3,1,0,247,1,0,4,3,2,0,11,0,12,2,1,3,0,0
ﻲﻔﻨﺣ ﻦﺴﺣ,24,2,16,2,0,0,1,427,0,1,1,0,4,3,1,38,3,0,25,0,0
ﺭﺎﺑ ﺕﺮﺑﻭﺭ,0,0,0,0,0,0,0,0,75,0,0,0,2,0,0,1,0,0,3,0,1
ﻰﺳﻮﻣ ﺔﻣﻼﺳ,10,0,0,0,2,0,0,2,0,77,1,0,2,0,0,4,0,0,20,0,1
ﻦﻴﺴﺣ ﻪﻃ,3,11,3,1,54,0,2,0,6,16,97,0,12,0,0,29,0,1,2,18,0
ﺩﺎﻘﻌﻟﺍ ﺩﻮﻤﺤﻣ ﺱﺎﺒﻋ,39,15,16,6,9,12,1,3,0,9,4,31,41,7,1,34,20,5,13,1,0
ﻱﻭﺎﻜﻣ ﺭﺎﻔﻐﻟﺍ ﺪﺒﻋ,1,1,7,0,3,1,0,5,4,2,0,0,283,1,20,45,0,1,6,11,5
ﻥﻮﺑﻮﻟ ﻑﺎﺘﺳﻮﻏ,3,0,0,1,0,0,2,2,6,2,0,1,8,79,10,25,2,0,2,7,0
ﺎﻳﺮﻛﺯ ﺩﺍﺆﻓ,0,0,0,0,1,0,0,1,8,1,0,0,3,0,94,5,0,0,3,3,6
ﻲﻧﻼﻴﻛ ﻞﻣﺎﻛ,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,21,0,0,0,0,0
ﻞﻜﻴﻫ ﻦﻴﺴﺣ ﺪﻤﺤﻣ,7,5,7,18,27,7,1,0,24,10,1,0,30,19,4,32,15,0,34,11,8
ﻅﻮﻔﺤﻣ ﺐﻴﺠﻧ,0,1,3,1,9,1,0,0,8,0,0,0,11,0,0,4,0,284,4,0,1
ﻱﻭﺍﺪﻌﺴﻟﺍ ﻝﺍﻮﻧ,0,0,0,0,2,0,0,5,6,0,0,0,4,0,0,16,0,0,258,0,4
ﺮﻴﺒﺴﻜﻴﺷ ﻡﺎﻴﻠﻳﻭ,0,0,7,3,2,0,0,0,18,1,0,0,36,6,0,53,0,0,4,108,0
ﺲﻳﺭﺩﺇ ﻒﺳﻮﻳ,0,0,0,0,1,0,0,1,8,0,0,0,6,0,0,4,0,2,56,1,41
